Question_Number,Trial_Index,Model,Humor_Rating,Source_Detection
1,1,Claude,2,1
2,1,Claude,3,4
3,1,Claude,3,4
4,1,Claude,4,4
5,1,Claude,3,1
6,1,Claude,4,4
7,1,Claude,4,4
8,1,Claude,4,4
9,1,Claude,3,1
10,1,Claude,4,4
11,1,Claude,4,4
12,1,Claude,3,1
13,1,Claude,4,4
14,1,Claude,2,1
15,1,Claude,4,4
16,1,Claude,4,4
17,1,Claude,2,1
18,1,Claude,3,4
19,1,Claude,3,1
20,1,Claude,4,4
21,1,Claude,3,4
22,1,Claude,4,4
23,1,Claude,4,4
24,1,Claude,3,4
1,2,Claude,2,1
2,2,Claude,3,4
3,2,Claude,3,4
4,2,Claude,4,4
5,2,Claude,3,1
6,2,Claude,4,4
7,2,Claude,4,4
8,2,Claude,4,4
9,2,Claude,3,1
10,2,Claude,4,4
11,2,Claude,4,4
12,2,Claude,3,1
13,2,Claude,4,4
14,2,Claude,2,1
15,2,Claude,4,4
16,2,Claude,4,4
17,2,Claude,2,1
18,2,Claude,3,4
19,2,Claude,3,1
20,2,Claude,4,4
21,2,Claude,3,4
22,2,Claude,4,4
23,2,Claude,5,4
24,2,Claude,4,4
1,3,Claude,2,1
2,3,Claude,3,4
3,3,Claude,3,4
4,3,Claude,4,4
5,3,Claude,3,1
6,3,Claude,4,4
7,3,Claude,4,4
8,3,Claude,4,4
9,3,Claude,3,1
10,3,Claude,4,4
11,3,Claude,4,4
12,3,Claude,3,1
13,3,Claude,4,4
14,3,Claude,2,1
15,3,Claude,4,4
16,3,Claude,4,4
17,3,Claude,2,1
18,3,Claude,3,4
19,3,Claude,3,1
20,3,Claude,4,4
21,3,Claude,3,4
22,3,Claude,4,4
23,3,Claude,4,4
24,3,Claude,3,4
1,4,Claude,2,1
2,4,Claude,3,4
3,4,Claude,3,4
4,4,Claude,4,4
5,4,Claude,3,1
6,4,Claude,4,4
7,4,Claude,4,4
8,4,Claude,4,4
9,4,Claude,3,1
10,4,Claude,4,4
11,4,Claude,4,4
12,4,Claude,3,1
13,4,Claude,4,4
14,4,Claude,2,1
15,4,Claude,4,4
16,4,Claude,5,4
17,4,Claude,2,1
18,4,Claude,3,4
19,4,Claude,3,1
20,4,Claude,4,4
21,4,Claude,3,4
22,4,Claude,5,4
23,4,Claude,4,4
24,4,Claude,3,4
1,5,Claude,2,1
2,5,Claude,3,4
3,5,Claude,3,4
4,5,Claude,4,4
5,5,Claude,3,1
6,5,Claude,4,4
7,5,Claude,4,4
8,5,Claude,4,4
9,5,Claude,3,1
10,5,Claude,4,4
11,5,Claude,4,4
12,5,Claude,3,1
13,5,Claude,4,4
14,5,Claude,2,1
15,5,Claude,4,4
16,5,Claude,5,4
17,5,Claude,2,1
18,5,Claude,3,4
19,5,Claude,3,1
20,5,Claude,4,4
21,5,Claude,3,4
22,5,Claude,5,4
23,5,Claude,4,4
24,5,Claude,4,4
1,6,Claude,2,1
2,6,Claude,3,1
3,6,Claude,3,4
4,6,Claude,4,4
5,6,Claude,3,1
6,6,Claude,4,4
7,6,Claude,4,4
8,6,Claude,4,4
9,6,Claude,3,1
10,6,Claude,4,4
11,6,Claude,3,4
12,6,Claude,3,1
13,6,Claude,4,4
14,6,Claude,2,1
15,6,Claude,4,4
16,6,Claude,5,4
17,6,Claude,3,1
18,6,Claude,3,4
19,6,Claude,3,1
20,6,Claude,4,4
21,6,Claude,3,4
22,6,Claude,4,4
23,6,Claude,5,4
24,6,Claude,4,4
1,7,Claude,2,1
2,7,Claude,3,4
3,7,Claude,3,4
4,7,Claude,4,4
5,7,Claude,3,1
6,7,Claude,4,4
7,7,Claude,4,4
8,7,Claude,4,4
9,7,Claude,3,1
10,7,Claude,4,4
11,7,Claude,4,4
12,7,Claude,3,1
13,7,Claude,4,4
14,7,Claude,2,1
15,7,Claude,4,4
16,7,Claude,5,4
17,7,Claude,2,1
18,7,Claude,3,4
19,7,Claude,3,1
20,7,Claude,4,4
21,7,Claude,3,4
22,7,Claude,5,4
23,7,Claude,4,4
24,7,Claude,3,4
1,8,Claude,2,1
2,8,Claude,3,4
3,8,Claude,3,4
4,8,Claude,4,4
5,8,Claude,3,1
6,8,Claude,4,4
7,8,Claude,4,4
8,8,Claude,4,4
9,8,Claude,3,1
10,8,Claude,4,4
11,8,Claude,4,4
12,8,Claude,3,1
13,8,Claude,4,4
14,8,Claude,2,1
15,8,Claude,4,4
16,8,Claude,5,4
17,8,Claude,2,1
18,8,Claude,3,4
19,8,Claude,3,1
20,8,Claude,4,4
21,8,Claude,3,4
22,8,Claude,5,4
23,8,Claude,4,4
24,8,Claude,4,4
1,9,Claude,2,1
2,9,Claude,3,4
3,9,Claude,3,4
4,9,Claude,4,4
5,9,Claude,3,1
6,9,Claude,4,4
7,9,Claude,4,4
8,9,Claude,4,4
9,9,Claude,3,1
10,9,Claude,4,4
11,9,Claude,4,4
12,9,Claude,3,1
13,9,Claude,4,4
14,9,Claude,2,1
15,9,Claude,4,4
16,9,Claude,5,4
17,9,Claude,2,1
18,9,Claude,4,4
19,9,Claude,3,1
20,9,Claude,4,4
21,9,Claude,3,4
22,9,Claude,5,4
23,9,Claude,5,4
24,9,Claude,3,4
1,10,Claude,2,1
2,10,Claude,3,4
3,10,Claude,3,4
4,10,Claude,4,4
5,10,Claude,3,1
6,10,Claude,4,4
7,10,Claude,4,4
8,10,Claude,4,4
9,10,Claude,3,1
10,10,Claude,4,4
11,10,Claude,4,4
12,10,Claude,3,1
13,10,Claude,4,4
14,10,Claude,2,1
15,10,Claude,4,4
16,10,Claude,5,4
17,10,Claude,2,1
18,10,Claude,4,4
19,10,Claude,3,1
20,10,Claude,4,4
21,10,Claude,3,4
22,10,Claude,5,4
23,10,Claude,4,4
24,10,Claude,3,4
1,11,Claude,2,1
2,11,Claude,3,1
3,11,Claude,3,4
4,11,Claude,4,4
5,11,Claude,3,1
6,11,Claude,4,4
7,11,Claude,4,4
8,11,Claude,4,4
9,11,Claude,3,1
10,11,Claude,4,4
11,11,Claude,4,4
12,11,Claude,3,1
13,11,Claude,4,4
14,11,Claude,2,1
15,11,Claude,4,4
16,11,Claude,5,4
17,11,Claude,3,1
18,11,Claude,4,4
19,11,Claude,3,1
20,11,Claude,4,4
21,11,Claude,3,4
22,11,Claude,5,4
23,11,Claude,5,4
24,11,Claude,4,4
1,12,Claude,2,1
2,12,Claude,3,4
3,12,Claude,3,4
4,12,Claude,4,4
5,12,Claude,3,1
6,12,Claude,4,4
7,12,Claude,4,4
8,12,Claude,4,4
9,12,Claude,3,1
10,12,Claude,4,4
11,12,Claude,4,4
12,12,Claude,3,1
13,12,Claude,4,4
14,12,Claude,2,1
15,12,Claude,4,4
16,12,Claude,5,4
17,12,Claude,2,1
18,12,Claude,4,4
19,12,Claude,3,1
20,12,Claude,4,4
21,12,Claude,3,4
22,12,Claude,5,4
23,12,Claude,4,4
24,12,Claude,4,4
1,13,Claude,2,1
2,13,Claude,3,4
3,13,Claude,3,4
4,13,Claude,4,4
5,13,Claude,3,1
6,13,Claude,4,4
7,13,Claude,4,4
8,13,Claude,4,4
9,13,Claude,3,1
10,13,Claude,4,4
11,13,Claude,4,4
12,13,Claude,3,1
13,13,Claude,4,4
14,13,Claude,2,1
15,13,Claude,4,4
16,13,Claude,5,4
17,13,Claude,2,1
18,13,Claude,3,4
19,13,Claude,3,1
20,13,Claude,4,4
21,13,Claude,3,4
22,13,Claude,5,4
23,13,Claude,4,4
24,13,Claude,4,4
1,14,Claude,2,1
2,14,Claude,3,4
3,14,Claude,3,4
4,14,Claude,4,4
5,14,Claude,3,1
6,14,Claude,4,4
7,14,Claude,4,4
8,14,Claude,4,4
9,14,Claude,3,1
10,14,Claude,4,4
11,14,Claude,4,4
12,14,Claude,3,1
13,14,Claude,4,4
14,14,Claude,2,1
15,14,Claude,4,4
16,14,Claude,5,4
17,14,Claude,2,1
18,14,Claude,4,4
19,14,Claude,3,1
20,14,Claude,4,4
21,14,Claude,3,4
22,14,Claude,5,4
23,14,Claude,4,4
24,14,Claude,4,4
1,15,Claude,2,1
2,15,Claude,3,4
3,15,Claude,3,4
4,15,Claude,4,4
5,15,Claude,3,1
6,15,Claude,4,4
7,15,Claude,4,4
8,15,Claude,4,4
9,15,Claude,3,1
10,15,Claude,4,4
11,15,Claude,4,4
12,15,Claude,3,1
13,15,Claude,4,4
14,15,Claude,2,1
15,15,Claude,4,4
16,15,Claude,4,4
17,15,Claude,2,1
18,15,Claude,3,4
19,15,Claude,3,1
20,15,Claude,4,4
21,15,Claude,3,4
22,15,Claude,4,4
23,15,Claude,4,4
24,15,Claude,3,4
1,16,Claude,2,1
2,16,Claude,3,4
3,16,Claude,3,4
4,16,Claude,4,4
5,16,Claude,3,1
6,16,Claude,4,4
7,16,Claude,4,4
8,16,Claude,4,4
9,16,Claude,3,1
10,16,Claude,4,4
11,16,Claude,4,4
12,16,Claude,3,1
13,16,Claude,4,4
14,16,Claude,2,1
15,16,Claude,4,4
16,16,Claude,4,4
17,16,Claude,2,1
18,16,Claude,3,4
19,16,Claude,3,1
20,16,Claude,4,4
21,16,Claude,3,4
22,16,Claude,4,4
23,16,Claude,5,4
24,16,Claude,4,4
1,17,Claude,2,1
2,17,Claude,3,4
3,17,Claude,3,4
4,17,Claude,4,4
5,17,Claude,3,1
6,17,Claude,4,4
7,17,Claude,4,4
8,17,Claude,4,4
9,17,Claude,3,1
10,17,Claude,4,4
11,17,Claude,4,4
12,17,Claude,3,1
13,17,Claude,4,4
14,17,Claude,2,1
15,17,Claude,4,4
16,17,Claude,5,4
17,17,Claude,2,1
18,17,Claude,4,4
19,17,Claude,3,1
20,17,Claude,4,4
21,17,Claude,3,4
22,17,Claude,5,4
23,17,Claude,4,4
24,17,Claude,4,4
1,18,Claude,2,1
2,18,Claude,3,4
3,18,Claude,3,4
4,18,Claude,4,4
5,18,Claude,3,1
6,18,Claude,4,4
7,18,Claude,4,4
8,18,Claude,4,4
9,18,Claude,3,1
10,18,Claude,4,4
11,18,Claude,4,4
12,18,Claude,3,1
13,18,Claude,4,4
14,18,Claude,2,1
15,18,Claude,4,4
16,18,Claude,5,4
17,18,Claude,2,1
18,18,Claude,4,4
19,18,Claude,3,1
20,18,Claude,4,4
21,18,Claude,3,4
22,18,Claude,5,4
23,18,Claude,5,4
24,18,Claude,3,4
1,19,Claude,2,1
2,19,Claude,3,4
3,19,Claude,3,4
4,19,Claude,4,4
5,19,Claude,3,1
6,19,Claude,4,4
7,19,Claude,4,4
8,19,Claude,4,4
9,19,Claude,3,1
10,19,Claude,4,4
11,19,Claude,4,4
12,19,Claude,3,1
13,19,Claude,4,4
14,19,Claude,2,1
15,19,Claude,4,4
16,19,Claude,5,3
17,19,Claude,2,1
18,19,Claude,3,4
19,19,Claude,3,1
20,19,Claude,4,4
21,19,Claude,3,4
22,19,Claude,5,4
23,19,Claude,4,4
24,19,Claude,4,4
1,20,Claude,2,1
2,20,Claude,3,4
3,20,Claude,3,4
4,20,Claude,4,4
5,20,Claude,3,1
6,20,Claude,4,4
7,20,Claude,4,4
8,20,Claude,4,4
9,20,Claude,3,1
10,20,Claude,4,4
11,20,Claude,4,4
12,20,Claude,3,1
13,20,Claude,4,4
14,20,Claude,2,1
15,20,Claude,4,4
16,20,Claude,4,4
17,20,Claude,2,1
18,20,Claude,3,4
19,20,Claude,3,1
20,20,Claude,4,3
21,20,Claude,3,4
22,20,Claude,4,4
23,20,Claude,4,3
24,20,Claude,3,4
1,21,Claude,2,1
2,21,Claude,3,4
3,21,Claude,3,4
4,21,Claude,4,4
5,21,Claude,3,1
6,21,Claude,4,4
7,21,Claude,4,4
8,21,Claude,4,4
9,21,Claude,3,1
10,21,Claude,4,4
11,21,Claude,4,4
12,21,Claude,3,1
13,21,Claude,4,3
14,21,Claude,2,1
15,21,Claude,4,4
16,21,Claude,5,4
17,21,Claude,2,1
18,21,Claude,4,4
19,21,Claude,3,1
20,21,Claude,4,4
21,21,Claude,3,4
22,21,Claude,5,4
23,21,Claude,4,4
24,21,Claude,3,4
1,22,Claude,2,1
2,22,Claude,3,3
3,22,Claude,3,4
4,22,Claude,4,4
5,22,Claude,3,1
6,22,Claude,4,4
7,22,Claude,4,4
8,22,Claude,4,4
9,22,Claude,3,1
10,22,Claude,4,4
11,22,Claude,4,4
12,22,Claude,3,1
13,22,Claude,4,4
14,22,Claude,2,1
15,22,Claude,4,4
16,22,Claude,4,4
17,22,Claude,2,1
18,22,Claude,3,4
19,22,Claude,3,1
20,22,Claude,4,4
21,22,Claude,3,4
22,22,Claude,4,4
23,22,Claude,4,4
24,22,Claude,3,4
1,23,Claude,2,1
2,23,Claude,3,4
3,23,Claude,3,4
4,23,Claude,4,4
5,23,Claude,3,1
6,23,Claude,4,4
7,23,Claude,4,4
8,23,Claude,4,4
9,23,Claude,3,1
10,23,Claude,4,4
11,23,Claude,4,4
12,23,Claude,3,1
13,23,Claude,4,4
14,23,Claude,2,1
15,23,Claude,4,4
16,23,Claude,4,4
17,23,Claude,2,1
18,23,Claude,3,4
19,23,Claude,3,1
20,23,Claude,4,4
21,23,Claude,3,4
22,23,Claude,4,4
23,23,Claude,4,4
24,23,Claude,3,4
1,24,Claude,2,1
2,24,Claude,3,4
3,24,Claude,3,3
4,24,Claude,4,4
5,24,Claude,3,1
6,24,Claude,4,4
7,24,Claude,4,4
8,24,Claude,4,4
9,24,Claude,3,1
10,24,Claude,4,4
11,24,Claude,4,4
12,24,Claude,3,1
13,24,Claude,4,4
14,24,Claude,2,1
15,24,Claude,4,4
16,24,Claude,5,4
17,24,Claude,2,1
18,24,Claude,3,4
19,24,Claude,3,1
20,24,Claude,4,4
21,24,Claude,3,4
22,24,Claude,5,4
23,24,Claude,4,4
24,24,Claude,3,4
1,25,Claude,2,1
2,25,Claude,3,4
3,25,Claude,3,4
4,25,Claude,4,4
5,25,Claude,3,1
6,25,Claude,4,4
7,25,Claude,4,4
8,25,Claude,4,4
9,25,Claude,3,1
10,25,Claude,4,4
11,25,Claude,4,4
12,25,Claude,3,1
13,25,Claude,4,4
14,25,Claude,2,1
15,25,Claude,4,4
16,25,Claude,5,3
17,25,Claude,2,1
18,25,Claude,4,4
19,25,Claude,3,1
20,25,Claude,4,4
21,25,Claude,3,4
22,25,Claude,5,4
23,25,Claude,5,4
24,25,Claude,3,4
1,26,Claude,2,1
2,26,Claude,3,4
3,26,Claude,3,4
4,26,Claude,4,4
5,26,Claude,3,1
6,26,Claude,4,4
7,26,Claude,4,4
8,26,Claude,4,4
9,26,Claude,3,1
10,26,Claude,4,4
11,26,Claude,4,4
12,26,Claude,3,1
13,26,Claude,4,4
14,26,Claude,2,1
15,26,Claude,4,4
16,26,Claude,4,4
17,26,Claude,2,1
18,26,Claude,3,4
19,26,Claude,3,1
20,26,Claude,4,4
21,26,Claude,3,4
22,26,Claude,4,4
23,26,Claude,4,4
24,26,Claude,3,4
1,27,Claude,2,1
2,27,Claude,3,4
3,27,Claude,3,4
4,27,Claude,4,4
5,27,Claude,3,1
6,27,Claude,4,4
7,27,Claude,4,4
8,27,Claude,4,4
9,27,Claude,3,1
10,27,Claude,4,4
11,27,Claude,4,4
12,27,Claude,3,1
13,27,Claude,4,4
14,27,Claude,2,1
15,27,Claude,4,4
16,27,Claude,4,4
17,27,Claude,2,1
18,27,Claude,3,4
19,27,Claude,3,1
20,27,Claude,4,4
21,27,Claude,3,4
22,27,Claude,4,4
23,27,Claude,4,4
24,27,Claude,3,4
1,28,Claude,2,1
2,28,Claude,3,4
3,28,Claude,3,4
4,28,Claude,4,4
5,28,Claude,3,1
6,28,Claude,4,4
7,28,Claude,4,4
8,28,Claude,4,4
9,28,Claude,3,1
10,28,Claude,4,4
11,28,Claude,4,4
12,28,Claude,3,1
13,28,Claude,4,4
14,28,Claude,2,1
15,28,Claude,4,4
16,28,Claude,5,4
17,28,Claude,2,1
18,28,Claude,3,4
19,28,Claude,3,1
20,28,Claude,4,4
21,28,Claude,3,4
22,28,Claude,5,4
23,28,Claude,4,4
24,28,Claude,4,4
1,29,Claude,2,1
2,29,Claude,3,4
3,29,Claude,3,4
4,29,Claude,4,4
5,29,Claude,3,1
6,29,Claude,4,4
7,29,Claude,4,4
8,29,Claude,4,4
9,29,Claude,3,1
10,29,Claude,4,4
11,29,Claude,4,4
12,29,Claude,3,1
13,29,Claude,4,4
14,29,Claude,2,1
15,29,Claude,4,4
16,29,Claude,4,4
17,29,Claude,2,1
18,29,Claude,3,4
19,29,Claude,3,1
20,29,Claude,4,4
21,29,Claude,3,4
22,29,Claude,4,4
23,29,Claude,4,4
24,29,Claude,3,4
1,30,Claude,2,1
2,30,Claude,3,4
3,30,Claude,3,4
4,30,Claude,4,4
5,30,Claude,3,1
6,30,Claude,4,4
7,30,Claude,4,4
8,30,Claude,4,4
9,30,Claude,3,1
10,30,Claude,4,4
11,30,Claude,4,4
12,30,Claude,3,1
13,30,Claude,4,4
14,30,Claude,2,1
15,30,Claude,4,4
16,30,Claude,5,4
17,30,Claude,2,1
18,30,Claude,3,4
19,30,Claude,3,1
20,30,Claude,4,4
21,30,Claude,3,4
22,30,Claude,5,4
23,30,Claude,4,4
24,30,Claude,3,4
